Localização;Beira Leito?;Nº do Carrinho;Cadeado;Andar;Prédio;Usuário conectado;Hostname;Patrimônio;IP;Serial Number CPU;Nome de SO;Os Release;Fabricante;Modelo;Tipo de chassi;Monitor 1;Modelo 1;Patrimônio 1;Monitor 2;Modelo 2;Patrimônio 2;Monitor 3;Modelo 3;Patrimônio 3;Webcam;Headset;DATA;Última atualização por
Segurança do Trabalho - Notebook;;;;3;Emergência;HSI3182N162241\User;HSI3182N162241;162241;10.30.55.145;2LB24W2;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3490;laptop;;;;;;;;;;Não;Não;14/08/2025;Rafael Muller
Serviço Social;;;;0;Emergência;ACSC\RL089978;HSI2633D231405;231405;10.30.24.123;3NTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell P2016;158337;;;;;;;;Sim;Sim;23/09/2025;Guilherme Flores
Serviço Social;;;;0;Emergência;ACSC\ST025849;HSI2633D231409;231409;10.30.26.140;9QTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2425H;219172;;;;;;;Não;Não;12/10/2025;Rafael Muller
Serviço Social;;;;0;Emergência;ACSC\RL089978;HSI2686N189740;189740;10.30.54.35;5WNSFP2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;Latitude 5480;laptop;;;;;;;;;;Não;Não;25/08/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;ACSC\jaques.adamadm;HSI2640D6906;6906;10.30.0.200;VMware-42 02 7b 10 c8 da 15 b1-9e bb 3d 20 9b ba 34 78;Microsoft Windows 7 Professional;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;SRVDICOM\Administrator;SRVDICOM;;10.30.0.23;TR0252P;Microsoft Windows Server 2008 R2 Standard x64;;IBM;System x3650 M4 -[7915AC1]-;server;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;SRVBROK\administrador;SRVBROK;;10.30.0.21;TR028DR;Microsoft Windows Server 2008 R2 Standard x64;;IBM;IBM System x3550 M4 Server -[7914AC1]-;server;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;SRVDB\Administrator;SRVDB;;10.30.0.22;TR028DT;Microsoft Windows Server 2008 R2 Standard x64;;IBM;IBM System x3550 M4 Server -[7914AC1]-;server;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;ACSC\jaques.adamadm;HSI-NDDPRINT;;10.30.0.3;VMware-42 04 ce f0 63 8b 85 df-59 74 fa 2e 5c b3 6e 0b;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;HSI-PACS\Administrator;hsi-pacs;;10.30.0.51;VMware-42 3c 2f ea 30 83 fa eb-1f 18 55 33 52 19 45 b1;Microsoft Windows Server 2019 Standard x64;1809;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;ACSC\dornelis.paloskit0;HSI-IMP1;;10.30.0.5;VMware-56 4d 43 f8 63 1b 58 30-3f dd f6 13 97 5f 5b bc;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;HSI-PIXPRINT1\Administrador;HSI-PIXPRINT1;;10.30.0.8;VMware-56 4d 64 e4 5a 56 6d ec-bd aa a0 5e 70 77 ff 28;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-NPS;;10.30.0.55;VMware-42 02 11 e4 dd a6 65 80-5f a6 a8 59 e0 2f 4b b8;Microsoft Windows Server 2019 Standard x64;1809;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-SRVCAM01;;10.30.0.11;VMware-42 02 4d cf 11 ec 60 5d-11 41 04 01 a3 af 1e 68;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-TARIFADOR;;10.30.0.58;VMware-42 02 7d 4f 62 b6 da 42-37 1b cc 2f 1f 3e 0d 8e;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;hsi-srvcam02;;10.30.0.6;VMware-42 02 cc cd 9c b6 72 00-6b 99 a9 f6 63 94 f6 c8;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-PDHCP;;10.30.0.50;VMware-42 09 76 6c 2a db 1d cc-6c c5 c5 a6 df 82 f9 58;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-PDICOM;;10.30.0.73;VMware-42 39 06 17 1d d0 01 d0-93 4d 9e f4 7b 47 0b 9c;Microsoft Windows Server 2019 Standard x64;1809;VMware, Inc.;VMware7,1;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-PACSVR;;10.30.0.71;VMware-42 39 1a cc b9 df 04 3e-8c 0a 3f 37 7a bb fd 0d;Microsoft Windows Server 2019 Standard x64;1809;VMware, Inc.;VMware7,1;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-PMIGRATION;;10.30.0.72;VMware-42 39 7c a9 9e b0 13 35-4c 83 58 e9 21 4b aa c2;Microsoft Windows Server 2019 Standard x64;1809;VMware, Inc.;VMware7,1;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;hsi-srvacesso;;10.30.0.14;VMware-42 3a 02 10 4c bb 65 c6-2d 67 ce 2b 1f c2 39 63;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;hsi-fs01;;10.30.0.19;VMware-42 3a 8a 2e 37 55 26 49-f5 9d 40 d4 f3 fc d5 1c;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-PACSIMG;;10.30.0.110;VMware-56 4d 35 6a f2 f4 eb f9-7e 12 66 64 9a 32 c4 f8;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-WSUS;;10.30.0.10;VMware-56 4d 51 0e 95 a8 22 3e-62 9a 4e 4f ff 3d 43 4a;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;hsi-imp2;;10.30.0.15;VMware-56 4d 54 3e 7d 71 b7 a6-53 dc 72 64 5e cc 45 f7;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Servidor;;;;N/A;Servidor;;HSI-GDC01;;10.30.0.38;VMware-56 4d f6 e5 31 50 4e f6-d1 43 5d 03 78 c2 37 53;Microsoft Windows Server 2012 R2 Standard x64;;VMware, Inc.;VMware Virtual Platform;other;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
SHL;;;;4;Principal;ACSC\keyla.santos;HSI2631D208452;208452;10.30.27.216;2JM04W2;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;OptiPlex 3060;desktop;Dell;P2016;153285;;;;;;;Não;Não;20/08/2025;Rafael Muller
SHL - Coordenação;;;;4;Principal;ACSC\rosa.campos;HSI2631D161430;161430;10.30.25.110;B7ZPFP2;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex 3050;desktop;Dell;P2018;182887;;;;;;;Sim;Sim;20/08/2025;Rafael Muller
SHL - Coordenação;;;;4;Principal;ACSC\GM038140;HSI2631N219310;219310;10.30.26.94;BH16K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3440;laptop;Dell;P2016;50716;;;;;;;Não;Não;20/08/2025;Rafael Muller
SND - Coodenação;;;;1;Principal;ACSC\RS105310;HSI2650D188801;188801;10.30.25.227;J166YY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;E2222HS;188858;;;;;;;Não;Não;11/07/2025;Rafael Muller
SND Coordenação;;;;1;Principal;ACSC\andressa.massafra;HSI2650D219285;219285;10.30.24.81;FC66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2016;149915;;;;;;;Sim;Não;11/07/2025;Rafael Muller
SND Coordenação;;;;1;Principal;ACSC\YR155293;HSI2650D182899;182899;10.30.27.98;H1S8WF3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018H;182877;;;;;;;Não;Não;11/07/2025;Rafael Muller
SND Cozinha (Máquina de Crise);;;;1;Principal;ACSC\RC601678;HSI2630D189611;189611;10.30.27.10;8GX53Y3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;E2222HS;188853;;;;;;;Não;Não;11/07/2025;Rafael Muller
SND Entrada do Refeitório;;;;1;Principal;ACSC\laurinda.morastoni;HSI2621D219378;219378;10.30.24.104;8G66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2314Ht;10383;;;;;;;Não;Não;11/07/2025;Rafael Muller
SND Estoque;;;;1;Principal;ACSC\BK058857;HSI2630D219319;219319;10.30.25.127;1H66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;AOC;E2270S;188713;;;;;;;Não;Não;11/07/2025;Rafael Muller
SND Estoque;;;;1;Principal;ACSC\GF141172;HSI2630D189579;189579;10.30.27.16;3HX53Y3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;AOC;E2270S;188762;;;;;;;Não;Não;11/07/2025;Rafael Muller
SND Estoque;;;;1;Principal;ACSC\meri.oliveira;HSI2630D189583;189583;10.30.25.212;4HX53Y3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;AOC;E2270S;188758;;;;;;;Não;Não;11/07/2025;Rafael Muller
SUS - ENTRADA RECEPÇÃO AO LADO CLASSIF. RISCO;;;;0;Emergência;ACSC\m088698;HSI2667D158828;158828;10.30.25.164;B89TFP2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3050;desktop;Dell;E2222HS;188861;;;;;;;;;;?
Telefonia;;;;1;Principal;ACSC\edicleia.ribeiro;HSI2635D158406;158406;10.30.25.9;282KCK2;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3040;desktop;Dell;P2415Q;197067;;;;;;;Não;Não;09/07/2025;Rafael Muller
Telefonia;;;;1;Principal;ACSC\andreia.bizatto;HSI2635D188409;158409;10.30.25.15;291PCK2;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3040;desktop;Dell;P2415Q;197068;;;;;;;Não;Não;09/07/2025;Rafael Muller
Telefonia;;;;1;Principal;ACSC\hsi-telef03;HSI2635D197047;197047;10.30.27.209;9W1KWT3;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2415Q;158537;;;;;;;Não;Não;09/07/2025;Rafael Muller
Tesouraria;;;;1;Principal;ACSC\ingrid.wagner;HSI3436D219398;219398;10.30.24.164;HH66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2222H;219424;Dell;P2425H;230188;;;;Sim;Não;12/10/2025;Rafael Muller
Tesouraria;;;;1;Principal;ACSC\EM083193;HSI3436D219272;219272;10.30.26.68;6B66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;197058;AOC;E2270S;188737;;;;Sim;Sim;06/11/2025;Rafael Muller
Tesouraria;;;;1;Principal;ACSC\EN140215;HSI3436D230294;230294;10.30.26.1;JNTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2222H;219300;Dell;E2222HS;196911;;;;Não;Não;06/08/2025;Rafael Muller
Tesouraria;;;;1;Principal;ACSC\kaique.buerger;HSI3436D219360;219360;10.30.27.169;J966K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;183986;Dell;P2018H;173622;;;;Sim;Não;05/08/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\jaques.adam;HSI2623D230117;230117;10.30.1.25;1NMP574;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2422H;196988;Dell;P2422H;197001;;;;Sim;Sim;21/07/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\maruhan.teodoro;HSI2623D219351;219351;10.30.1.9;3NMP574;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2422H;196991;Dell;P2422H;196993;;;;Sim;Sim;02/07/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\TV060747;HSI2623D219258;219258;10.30.1.10;4J66K34;Microsoft Windows 11 Pro x64;25H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2422H;230238;Dell;P2422H;230239;;;;Sim;Sim;07/11/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\VM129661;HSI2623D219257;219257;10.30.1.18;4K66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2425H;230236;Dell;P2425H;230235;;;;Sim;Sim;13/10/2025;Rafael Muller
TI;;;;2;Emergência;ACSC\t902391;HSI2623D219264;219264;10.30.1.16;CH66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2425H;230241;Dell;P2425H;219243;;;;Não;Sim;02/07/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\T012398;HSI2623D219259;219259;10.30.1.8;FK66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2425H;230202;Dell;P2222H;219298;;;;Sim;Sim;02/07/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\JC085604;HSI2623N219307;219307;10.30.54.26;HH16K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3440;laptop;Dell;P2422H;196998;Dell;P2422H;196996;Sim;Sim;;Não;Não;02/07/2025;Guilherme Flores
TI;;;;2;Emergência;ACSC\T084547;HSI2623D219256;219256;10.30.1.19;HJ66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2425H;196992;Dell;P2425H;196999;;;;Sim;Sim;07/11/2025;Guilherme Flores
TI -  Notebook Backup;;;;1;Principal;acsc\sueli.marques;HSI2611N149472;149472;10.30.53.39;BRJ512NFJG;Microsoft Windows 10 Pro x64;22H2;Hewlett-Packard;ProBook 440;laptop;;;;;;;;;;Não;Não;07/08/2025;Guilherme Flores
TI - Notebook Backup;;;;2;Emergência;acsc\user;HSI2623N188897;188897;10.30.00.00;5WNRFP2;Microsoft Windows 10 Pro x64;23H2;Dell Inc.;Latitude 5480;laptop;;;;;;;;;;Não;Não;28/08/2025;Guilherme Flores
TI - Notebook Backup;;;;2;Emergência;ACSC\m302661;HSI3712N189691;189691;10.30.54.5;92K5MD2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;Latitude E5470;laptop;;;;;;;;;;Não;Não;14/08/2025;Rafael Muller
TI - Notebook Backup;;;;2;Emergência;ACSC\lilian.pamplona;HSI2619N219302;219302;10.30.53.177;DH16K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3440;laptop;;;;;;;;;;Não;Não;14/08/2025;Rafael Muller
TI - Notebook Backup (Defeito conector RJ45);;;;2;Emergência;ACSC\m036745;HSI2669N173471;173471;10.30.53.238;2MX34W2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;Latitude 3490;laptop;;;;;;;;;;Não;Não;21/10/2025;Rafael Muller
TI - Notebook Backup (Defeito no teclado);;;;2;Emergência;acsc\user;HSI2623N173477;173477;10.30.00.00;2MQ64W2;Microsoft Windows 10 Pro x64;23H2;Dell Inc.;Latitude 3490;laptop;;;;;;;;;;Não;Não;28/08/2025;Guilherme Flores
Transporte do Paciente ;;;;5;Principal;ACSC\ibriela.hausmann;HSI2632D158862;158862;10.30.25.247;6WSYRP2;Microsoft Windows 11 Pro x64;21H2;Dell Inc.;OptiPlex 3050;desktop;Dell;P2016;158885;;;;;;;Sim;Sim;05/07/2025;Rafael Muller
Transporte do Paciente ;;;;5;Principal;ACSC\warley.freitas;HSI2686D219290;219290;10.30.24.16;GB66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;188888;;;;;;;Não;Não;05/07/2025;Rafael Muller
Transporte do Paciente ;;;;5;Principal;ACSC\m162080;HSI2632D188835;188835;10.30.25.141;H166YY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2425H;230204;;;;;;;Não;Não;11/10/2025;Rafael Muller
TRR - Capela - Descanso Médico;;;;4;Principal;ACSC\m050598;HSI2661D218367;218367;10.30.24.27;BJQDMD2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3040;desktop;AOC;E2270S;188760;;;;;;;Não;Não;31/10/2025;Rafael Muller
Maternidade;Beira Leito Nº 57;;;3;Principal;ACSC\NB070760;HSI3712N188893;SEM ETIQUETA;10.30.52.28;3T0HCD2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;Latitude E5470;laptop;;;;;;;;;;Não;Não;06/07/2025;Rafael Muller
Maternidade;Beira Leito Nº 58;;;3;Principal;ACSC\IS005283;HSI3712N189560;189560;10.30.53.98;GWM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Rafael Muller
Maternidade;Beira Leito Nº 59;;;3;Principal;ACSC\IR114371;HSI3712N189558;189558;10.30.52.128;3VM53Y3;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Rafael Muller
Maternidade;Beira Leito Nº 60;;;3;Principal;ACSC\JF095608;HSI3712N189557;189557;10.30.53.113;HXM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Rafael Muller
Emergência Geral;Beira Leito Nº 61;;;0;Emergência;ACSC\SS960141;HSI3712N189551;189551;10.30.53.236;GYM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;10/07/2025;Guilherme Flores
UCO;;;;4;Principal;acsc\user;HSI3712N231437;231437;10.30.52.137  ;DZVVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;Latitude 3450;laptop;;;;;;;;;;Não;Não;02/10/2025;Guilherme Flores
UCO - Coordenação;;;;4;Principal;ACSC\m014894;HSI2671D230252;230252;10.30.26.58;4PTVSB4;Microsoft Windows 11 Pro x64;25H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2018;173404;Dell;E2222HS;189616;;;;Sim;Sim;31/10/2025;Guilherme Flores
UCO - Coordenação;;;;4;Principal;ACSC\vanessa.hensen;HSI2671N219308;219308;10.30.54.57;FH16K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3440;laptop;AOC;E2270S;188703;;;;;;;Não;Não;22/08/2025;Guilherme Flores
UCO - Descanso Médico;;;;4;Principal;ACSC\aline.muller;HSI2672D219261;219261;10.30.25.218;DK66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189614;;;;;;;Não;Não;22/08/2025;Guilherme Flores
UCO - Posto de Enfermagem;;;;4;Principal;ACSC\SS109162;HSI2671D189677;189677;10.30.24.222;23F8NY3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3000;desktop;DELL;P2222H;219462;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO - Posto de Enfermagem;;;;4;Principal;ACSC\Catlin.Machado;HSI2671D182930;182930;10.30.24.127;C1S8WF3;Microsoft Windows 11 Pro x64;21H2;Dell Inc.;OptiPlex 3080;desktop;DELL;P2415Qb;207864;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO - Posto de Enfermagem;;;;4;Principal;ACSC\LP092427;HSI2672D219262;219262;10.30.24.87;DJ66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;DELL;P2222H;219471;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO - Posto de Enfermagem;;;;4;Principal;ACSC\ana.lima1;HSI2671D189673;189673;10.30.24.240;J3F8NY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;DELL;P2222H;219468;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO - Prescrição Médica;;;;4;Principal;ACSC\luana.lima2;HSI2671D189679;189679;10.30.25.112;63F8NY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;DELL;P2222H;219461;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO - Prescrição Médica;;;;4;Principal;ACSC\luana.lima2;HSI2671D219313;219313;10.30.24.101;JG66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;DELL;P2222H;219433;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO - Prescrição Médica (Máquina de Crise);;;;4;Principal;ACSC\m014894;HSI2671D231404;231404;10.30.27.32;6QTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;DELL;P2222H;183944;;;;;;;Não;Não;17/08/2025;Guilherme Flores
UCO - Prescrição Médica (Máquina de Crise);;;;4;Principal;ACSC\luana.lima2;HSI2671D231406;231406;10.30.27.14;JPTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;DELL;P2222H;219422;;;;;;;Não;Não;17/08/2025;Guilherme Flores
UCO - Sala de Acolhimento;;;;4;Principal;ACSC\jaqueline.franzmann;HSI2671D183941;183941;10.30.27.185;GD83LQ3;Microsoft Windows 10 Pro x64;21H1;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;196870;;;;;;;Não;Não;22/08/2025;Guilherme Flores
Unid. N.S. Aparecida - DML;;;;5;Principal;ACSC\salete.brandoli;HSI2631D149920;149920;10.30.27.30;BJV9MD2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3040;desktop;LG;E1941;9583;;;;;;;Não;Não;31/10/2025;Rafael Muller
Emergência Geral;Beira Leito Nº 62;;;0;Emergência;ACSC\t902391t2;HSI3712N189522;189522;10.30.52.183;FYM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;10/07/2025;Guilherme Flores
UCO;Beira Leito Nº 63;;;4;Principal;ACSC\caroline.montagna;HSI3712N189509;189509;10.30.53.209;5XM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UTI - Coordenação;;;;2;Principal;ACSC\t902391t2;HSI2672N173476;173476;10.30.53.158;2MX54W2;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3490;laptop;;;;;;;;;;Não;Não;07/09/2025;Rafael Muller
UTI - Coordenação;;;;2;Principal;ACSC\kerllen.silva;HSI2672D219798;219798;10.30.26.31;7JX53Y3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2425H;230218;Dell;P2018;173407;;;;Sim;Não;30/10/2025;Guilherme Flores
UTI - Coordenação;;;;2;Principal;ACSC\fabio.aciprestes;HSI2672N158752;158752;10.30.54.7;79CVFP2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;Latitude 3480;laptop;;;;;;;;;;Não;Não;21/08/2025;Guilherme Flores
UTI - Coordenação;;;;2;Principal;ACSC\fabio.aciprestes;HSI2672D182934;182934;10.30.27.72;70S8WF3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3080;desktop;Dell;;182747;DELL;P2314Ht;192076;;;;Não;Sim;08/07/2025;Guilherme Flores
UTI - Coordenação Médica;;;;2;Principal;ACSC\ana.ogliari;HSI2672D196830;196830;10.30.27.195;5F83LQ3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;196875;;;;;;;Não;Não;20/08/2025;Rafael Muller
UTI - Coordenação Médica;;;;2;Principal;ACSC\fernando.akiyoshi;HSI2672D182907;182907;10.30.27.84;81S8WF3;Microsoft Windows 10 Pro x64;20H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018;182890;;;;;;;Não;Não;20/08/2025;Rafael Muller
UTI - Corredor;;;;2;Principal;ACSC\patrícia.schuetze;HSI2672D182924;182924;10.30.27.110;G0S8WF3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2222H;219174;;;;;;;;;10/10/2025;Guilherme Flores
UTI - Descanso Médico;;;;2;Principal;ACSC\hsi-utimed02;HSI2672D182896;182986;10.30.27.99;62S8WF3;Microsoft Windows 10 Pro x64;21H1;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018H;182859;;;;;;;Não;Não;20/08/2025;Rafael Muller
UTI - Escrituração;;;;2;Principal;ACSC\AC108119;HSI2672D219273;219273;10.30.24.125;1B66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;DELL;P2018H;173425;;;;;;;;;08/07/2025;Guilherme Flores
UTI - Farmácia;;;;2;Principal;ACSC\AI035660;HSI2644D188817;188817;10.30.27.1;3366YY3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3000;desktop;DELL;E2222HS;188870;;;;;;;;;08/07/2025;Guilherme Flores
UTI - Farmácia;;;;2;Principal;ACSC\ab132591;HSI2641D188804;188804;10.30.27.3;4266YY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;DELL;E2222HS;188847;;;;;;;;;08/07/2025;Guilherme Flores
