Localização;Beira Leito?;Nº do Carrinho;Cadeado;Andar;Prédio;Usuário conectado;Hostname;Patrimônio;IP;Serial Number CPU;Nome de SO;Os Release;Fabricante;Modelo;Tipo de chassi;Monitor 1;Modelo 1;Patrimônio 1;Monitor 2;Modelo 2;Patrimônio 2;Monitor 3;Modelo 3;Patrimônio 3;Webcam;Headset;DATA;Última atualização por
Recepção Geral - Guiche 02;;;;0;Principal;ACSC\ec702853;HSI2638D189663;189663;10.30.27.5;83F8NY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;E2222HS;189701;;;;;;;Não;Não;07/07/2025;Rafael Muller
Recepção Geral - Guiche 03;;;;0;Principal;ACSC\luciana.santos3;HSI2638D182847;182847;10.30.27.59;92S8WF3;Microsoft Windows 10 Pro x64;20H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018H;182848;;;;;;;Não;Não;07/07/2025;Guilherme Flores
Recepção Geral - Guiche 04;;;;0;Principal;ACSC\fatima.krauss;HSI2667D197043;197043;10.30.27.204;CT59PT3;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2314H;188387;Dell;P2222H;197042;;;;Não;Não;07/07/2025;Rafael Muller
Recepção Geral - Saída;;;;0;Principal;ACSC\AR007767;HSI2638D189664;189664;10.30.27.7;G3F8NY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;AOC;E2270S;188752;;;;;;;Não;Não;07/07/2025;Guilherme Flores
Recepção Geral - Totem;;;;0;Principal;ACSC\TOTEMHSI;HSI3870T183797;;10.30.27.133;System Serial Number;Microsoft Windows 10 Pro for Workstations x64;22H2;ASUS;System Product Name;desktop;;;;;;;;;;Não;Não;19/08/2025;Guilherme Flores
Recepção SUS - Guichê 01;;;;0;Emergência;ACSC\NT054153;HSI2667D158807;158807;10.30.26.52;B83YFP2;Microsoft Windows 10 Pro x64;21H1;Dell Inc.;OptiPlex 3050;desktop;Dell;P2016;158324;;;;;;;Sim;Não;10/07/2025;Guilherme Flores
Recepção SUS - Guichê 02;;;;0;Emergência;ACSC\AC069898;HSI2667D219318;219318;10.30.26.72;DF66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2016;149950;;;;;;;Sim;Não;10/07/2025;Guilherme Flores
Recepção SUS - Painel;;;;0;Emergência;ACSC\PAINELHSI;HSI2667D196930;196930;10.30.27.196;CP6N4T3;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;;;;;;;;;;Não;Não;20/08/2025;Rafael Muller
Recepção SUS - Totem;;;;1;Emergência;ACSC\TOTEMHSI;HSI3870T219591;;10.30.27.36;Default string;Microsoft Windows 11 Pro x64;23H2;Gigabyte Technology Co., Ltd.;H610M H DDR4;desktop;;;;;;;;;;Não;Não;19/08/2025;Guilherme Flores
Relacionamento Médico;;;;1;Principal;ACSC\eduarda.caetano;HSI2607D173443;173443;10.30.26.97;2JR04W2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3060;desktop;DELL;P2222H;219162;Dell;P2222H;219208;;;;;;04/07/2025;Guilherme Flores
